model,n_mixtures,n_responses,rir50_rmse,edc_rmse_db,si_nmse_db,waveform_corr,lsd_db,t20_mae_s,t20_valid_rate,drr_mae_db,drr_pearson,drr_spearman,c50_mae_db,c80_mae_db,near_far_accuracy,drr_rank_fidelity,drr_gap_mae_db
Rec-RIR,2801,5602,0.04633923198811426,4.560160259791484,-5.472339006304068,0.7911268503816927,2.5510795067843253,0.08119453954755475,0.8164941092466976,2.9453299042155616,0.9389603428238525,0.9858655495909022,6.907151198208587,9.168030248340111,0.9725098179221706,0.9725098179221706,1.8997082657674598
"VINP (TCN+SA+S, epoch 120)",2801,5602,0.055724643415431284,9.238343387233812,-3.8009226205051974,0.6894182811147724,4.543163655251061,0.40693309562218827,0.7681185290967512,5.762601700346849,0.8114473773771935,0.8852286539670252,11.155929480495885,14.810136129232434,0.8811138878971796,0.8811138878971796,6.672179758105921
BUDDy,2801,5602,0.061956826956459016,6.66399488890163,-3.3623906970975628,0.6478545292959571,6.022894099289633,0.11754097464243789,0.7932881113887897,5.250423879358488,0.8570196162772564,0.9002606291031093,8.905957812887939,10.758298869714837,0.9082470546233488,0.9082470546233488,5.047357345047976
Speech2RIR,2801,5602,0.18450018038518948,18.04546188362104,-0.17906046521925836,0.18531681831769511,20.248356126110608,0.613253263089393,0.14262763298821848,9.59720443417851,0.08368544591637284,0.07855789868887114,16.79974824502655,21.415090344823618,0.46840414137807923,0.46840414137807923,9.519362920481496
FiNS (local epoch 250),2801,5602,0.11026908661944673,7.461137698575127,-0.5966145812099116,0.31987063597880455,12.080978243989318,0.08601806439600708,0.8313102463405927,6.421552007021793,0.7536182681065946,0.8377565637079869,9.63871217474674,10.918601925837706,0.8268475544448411,0.8268475544448411,7.464035207391626
