model,checkpoint,dataset,protocol,separation_eval_assignment,sample_rate_hz,segment_seconds,separation_num_samples,si_sdr_db,si_sdri_db,sdr_db,sdri_db,pesq_nb,stoi,estoi,sir_db,sar_db,dnsmos_p835_sig,dnsmos_p835_bak,dnsmos_p835_ovrl,rir_assignment,rir_mixtures,rir_source_rows,recon_complex_nmse_db,recon_si_sdr_db,rir50_rmse,edc_rmse_db,rir_si_nmse_db,rir_waveform_corr,rir_lsd_db,t20_mae_s,t20_rmse_s,t20_pearson,t20_spearman,t20_valid_rate,drr_mae_db,drr_rmse_db,drr_pearson,drr_spearman,c50_mae_db,c80_mae_db,near_far_accuracy,drr_rank_accuracy,drr_gap_mae_db
DARS (ES patience 10),mix_rir0_p10_0719,mixed_dataset,distance-ordered,fixed,8000,4.0,2801,10.670374876003272,14.896986562028522,13.132286487158517,13.236138732847849,3.192625164496222,0.8928051624651174,0.7878710712769514,24.293934101847316,13.909327740891731,3.330536262529967,3.2810590729366997,2.7191459528424833,fixed_identity,2801,5602,-14.227190279877641,15.946202322165595,0.03215941735365896,5.134199357189784,-9.676356328896201,0.9089592900683938,1.8444371912091115,0.10993946245233081,0.15372007020712808,0.9645140630513989,0.9779186915826519,0.8195287397358086,2.58323462214118,3.5106478245077906,0.9605234090534746,0.9879079231398419,6.376470453497981,8.825679356267841,0.991074616208497,0.991074616208497,1.2752392682874523
SPMamba,mixed_g3090_p5_0227,mixed_dataset,distance-ordered,fixed,8000,4.0,2801,8.835316084019416,13.063206102455654,11.57253454775097,11.674860366303255,2.9889883549032104,0.8715738269132922,0.7536455919606952,22.281883953451068,12.478471735739062,3.299195131422076,3.1275412003722036,2.6303402587777684,,,,,,,,,,,,,,,,,,,,,,,,
TDANet-Large,tdanet_large200_nopit,mixed_dataset,distance-ordered,fixed,8000,4.0,2801,3.8701032083009403,8.075296624649086,7.855566907332268,7.941890016788672,2.2275760775589593,0.7741855844360235,0.607309363994337,17.951795284731745,9.325288252876417,3.004353457874685,3.021092866054245,2.3855268595934596,,,,,,,,,,,,,,,,,,,,,,,,
TF-Locoformer-M,tflocoformer_m_nopit20_mixed_dataset_official_stable,mixed_dataset,distance-ordered,fixed,8000,4.0,2801,10.032559428969183,14.252928760638198,12.56987129356639,12.672973080687504,3.0945638673129316,0.8876834592973087,0.7776134769812798,22.501999831240077,13.51337521346881,2.7790548768285186,3.436464009076194,2.285787941563635,,,,,,,,,,,,,,,,,,,,,,,,
