model,metric,source_column,category,axis_label,n,mean_db,ci95_low_db,ci95_high_db,sample_rate_hz,segment_seconds,evaluation_n,alignment,input_csv,bootstrap_method,bootstrap_replicates,bootstrap_seed
SPMamba,SDRi,sdr_i,music+speech,M&S,35,14.926437,13.768339,16.063841,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,music+tv,M&T,26,12.148824,8.934978,14.711743,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,speech+speech,S&S,216,13.216340,12.746243,13.646520,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,speech+tv,S&T,501,12.221143,11.860982,12.543102,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SDRi,sdr_i,tv+tv,T&T,265,10.582368,9.999042,11.122092,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,dialog+dialog,D&D,402,20.098648,19.390020,20.728580,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,dialog+music,D&M,47,24.437806,23.267545,25.546779,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,dialog+speech,D&S,646,23.772712,23.395409,24.106330,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,dialog+tv,D&T,660,21.124259,20.657404,21.562076,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,music+music,M&M,3,22.537701,16.969221,26.383604,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,music+speech,M&S,35,26.721582,25.674230,27.778074,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,music+tv,M&T,26,22.515306,18.259015,25.782888,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,speech+speech,S&S,216,24.038964,23.447551,24.558984,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,speech+tv,S&T,501,23.065369,22.620088,23.452767,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
SPMamba,SIR,sir,tv+tv,T&T,265,20.934748,20.164709,21.620637,8000,4,2801,fixed identity,outputs/main_table/spmamba/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,dialog+dialog,D&D,402,5.560402,5.050797,6.052024,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,dialog+music,D&M,47,8.809322,6.799095,10.486253,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,dialog+speech,D&S,646,8.683572,8.253127,9.111332,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,dialog+tv,D&T,660,7.482158,7.097765,7.835951,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,music+music,M&M,3,-1.900839,-7.476757,8.820477,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,music+speech,M&S,35,10.965215,9.728460,12.233211,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,music+tv,M&T,26,5.623596,0.826283,9.683396,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,speech+speech,S&S,216,9.622934,8.923715,10.256437,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,speech+tv,S&T,501,9.231940,8.849326,9.596457,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SDRi,sdr_i,tv+tv,T&T,265,6.868126,6.179891,7.499734,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,dialog+dialog,D&D,402,13.861184,13.142713,14.539229,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,dialog+music,D&M,47,18.190713,15.695764,20.288215,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,dialog+speech,D&S,646,19.344287,18.784143,19.872899,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,dialog+tv,D&T,660,17.003768,16.515138,17.464206,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,music+music,M&M,3,1.674581,-5.999839,16.819228,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,music+speech,M&S,35,22.268093,21.273146,23.308634,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,music+tv,M&T,26,14.296033,8.067802,19.710692,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,speech+speech,S&S,216,20.586176,19.711753,21.324081,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,speech+tv,S&T,501,20.215035,19.769469,20.617054,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TDANet-Large,SIR,sir,tv+tv,T&T,265,16.628197,15.722008,17.484465,8000,4,2801,fixed identity,outputs/main_table/tdanet/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,dialog+dialog,D&D,402,11.458171,11.116978,11.781417,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,dialog+music,D&M,47,14.739600,13.944101,15.596236,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,dialog+speech,D&S,646,13.494684,13.127722,13.824799,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,dialog+tv,D&T,660,11.761309,11.434403,12.060006,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
TF-Locoformer-M,SDRi,sdr_i,music+music,M&M,3,9.748765,-4.642532,19.965153,8000,4,2801,fixed identity,outputs/main_table/tflocoformer/metrics_extended_fixed_identity.csv,percentile bootstrap of per-example mean,10000,20260823
