variant,early_stop_patience,training_assignment,evaluation_assignment,w_rev,w_recon,w_rir,num_mixtures,num_responses,si_sdr,si_sdr_i,sdr,sdr_i,pesq_nb,stoi,estoi,sir,sar,dnsmos_p835_sig,dnsmos_p835_bak,dnsmos_p835_ovrl,recon_complex_nmse_db,recon_si_sdr_db,rir50_rmse,edc_rmse_db,response_si_nmse_db,response_corr,lsd_db,t20_mae_s,t20_valid_rate,drr_mae_db,drr_pearson,drr_spearman,c50_mae_db,c80_mae_db,near_far_accuracy,drr_rank_accuracy,drr_gap_mae_db
SPMamba (L_sep),10,no_pit,fixed_identity,0.0,0.0,0.0,2801,5602,8.835316084019416,13.063206102455654,11.57253454775097,11.674860366303255,2.9889883549032104,0.8715738269132922,0.7536455919606952,22.281883953451068,12.478471735739062,3.299195131422076,3.1275412003722036,2.6303402587777684,28.393500775620154,-24.93131790322994,0.07624094625879746,18.327201227661902,-0.5419055045265406,0.3242064105659499,12.446984070722525,0.28371536930792557,0.0001785076758300607,10.790556937578165,0.018298323885082932,0.3311117658167392,26.391335012030762,31.158995596893167,0.19421635130310602,0.19421635130310602,9.709806237925596
DARS + L_rev,10,no_pit,fixed_identity,0.1,0.0,0.0,2801,5602,9.480921046195904,13.701290382589029,11.920323001746832,12.023424792602546,3.0512052534606275,0.8811652410303821,0.7685818349719724,22.810748008820298,12.762362356081217,3.2753717315351585,3.2641819850128253,2.6642982839380647,16.855807928220155,-36.988021225002875,0.08594568564441925,17.762692751927815,-0.6025226703600588,0.33807143561812175,12.286271711628773,0.07220423526830624,0.001785076758300607,10.933431613347432,0.6537785187328754,0.8451264014750441,23.90436077636318,29.141813163071927,0.8936094252052839,0.8936094252052839,8.712099395338434
DARS + L_resp,10,no_pit,fixed_identity,0.0,0.5,0.0,2801,5602,10.036821031604482,14.257190360996562,12.64034282624913,12.743444613051048,3.1523332147885967,0.886323393987472,0.7771703244953422,23.14095174864876,13.563510423364574,3.300326235285535,3.2755435349083055,2.6937768614435673,-13.190981062267625,14.324446476116403,0.03371788796721593,7.022156199590594,-9.237590303437964,0.9031694202828515,1.9452060461798675,0.11795447578854973,0.8154230631917172,3.7407962345237866,0.9483224081452162,0.9818992663376894,7.1856552546650425,9.486462445401257,0.9771510174937522,0.9771510174937522,1.6164689700575003
DARS full,10,no_pit,fixed_identity,0.1,0.5,0.0,2801,5602,10.670374876003272,14.896986562028522,13.132286487158517,13.236138732847849,3.192625164496222,0.8928051624651174,0.7878710712769514,24.293934101847316,13.909327740891731,3.330536262529967,3.2810590729366997,2.7191459528424833,-14.227190279877641,15.946202322165595,0.03215941735365896,5.134199357189784,-9.676356328896201,0.9089592900683938,1.8444371912091115,0.10993946245233081,0.8195287397358086,2.58323462214118,0.9605234090534746,0.9879079231398419,6.376470453497981,8.825679356267841,0.991074616208497,0.991074616208497,1.2752392682874523
