model,n_mixtures,n_responses,rir50_rmse,edc_rmse_db,si_nmse_db,waveform_corr,lsd_db,t20_mae_s,t20_valid_rate,drr_mae_db,drr_pearson,drr_spearman,c50_mae_db,c80_mae_db,near_far_accuracy,drr_rank_fidelity,drr_gap_mae_db
DARS (ES patience 10),2801,5602,0.03215941735365896,5.134199357189784,-9.676356328896201,0.9089592900683938,1.8444371912091115,0.10993946245233081,0.8195287397358086,2.58323462214118,0.9605234090534746,0.9879079231398419,6.376470453497981,8.825679356267841,0.991074616208497,0.991074616208497,1.2752392682874523
Rec-RIR,2801,5602,0.05130016627403442,8.16598497299726,-4.483763390173774,0.7492753791185227,3.5802475547119528,0.13918324987993416,0.7672259907176009,5.849185831002416,0.859415517865213,0.9466536445921163,11.067501583701556,13.251441360686252,0.9503748661192432,0.9503748661192432,4.2800771572367875
"VINP (TCN+SA+S, epoch 120)",2801,5602,0.05635282062820178,10.036202184913526,-3.572726612248577,0.6857499069970507,4.478688015853254,0.5745715221155335,0.7549089610853267,7.302729628138772,0.618751841105117,0.7141701609611117,12.92002193019606,16.318076869588857,0.8079257408068546,0.8079257408068546,7.613285920000064
BUDDy,2801,5602,0.060992195650971734,7.320960568776303,-3.1111529989897186,0.6550272085270197,5.776930713549574,0.134502205991014,0.6547661549446626,6.556853174299486,0.7597389449794297,0.8325390647672862,11.964659365281088,13.10472548477241,0.923598714744734,0.923598714744734,5.778015800617173
Speech2RIR,2801,5602,0.18569785284354534,17.255352830708947,-0.17232618825490176,0.17896353434586215,21.03221463684266,0.6694444016494101,0.19814352017136738,9.493988366229813,-0.004623073411056262,-0.00012228842859178684,16.23000068966092,20.387052910673056,0.46661906461977865,0.46661906461977865,9.774815481226181
FiNS (local epoch 250),2801,5602,0.1033827165334538,11.283572035008417,-0.6294433720488745,0.33600189811202996,11.087651233199065,0.15841311810887948,0.8313102463405927,7.067662327214894,0.5405919441398614,0.6279371557607258,12.235899996657142,14.46613286988194,0.7254551945733666,0.7254551945733666,8.504933114039016
